VideoID,Comentario,Fecha
2Btx6xU8Aw4,dios mio que risa ghassan... &quot;te cortaste el pelo?&quot; jajajajajajajaj buena cogorza se pilló anoche jajajajajajjaj,2024-09-23T12:31:14Z
2Btx6xU8Aw4,el discurso de cynthia es brutal,2024-09-23T12:28:25Z
2Btx6xU8Aw4,"tendría sentido que llevaras un vestido de tu colección con REDONDO. No has llevado nada &quot;tuyo&quot; en ningún evento, es RARO.",2024-09-23T12:11:13Z
2Btx6xU8Aw4,Qué pechada a llorar con el discurso de tu hermana. Enhorabuena y a seguir tan felices!!,2024-09-23T09:51:41Z
2Btx6xU8Aw4,No estoy llorando 🥲🥲🥹🥹🥹🥹,2024-09-23T09:41:37Z
2Btx6xU8Aw4,"Que gusto da llorar por cosas bonitas, gracias por compartirlo.",2024-09-23T05:47:29Z
2Btx6xU8Aw4,Después de ver este video volveré a ver el de tu boda 🎉 que linda estaban la dos.,2024-09-23T01:33:07Z
2Btx6xU8Aw4,Llore ❤ que hermosas palabras es la declaración de amor que todas deberíamos tener …. Gracias por demostrar su intimidad que nos hace tan bien ❤,2024-09-22T23:59:13Z
2Btx6xU8Aw4,"Que sorpresa la que me lleve, dos mujeres de blanco",2024-09-22T22:08:46Z
2Btx6xU8Aw4,Ghass se ve regio con su traje ….,2024-09-22T22:08:13Z
2Btx6xU8Aw4,"Aqui otra que ha llorado con el discurso de tu hermana,Que bonito es el amor cuando encuentras a la pareja perfecta.Enhorabuena❤❤❤❤",2024-09-22T20:43:04Z
2Btx6xU8Aw4,Que hermosas palabras de tu hermana... lo mejor del vlog lejos.... sin desmerecer el resto obvio ❤,2024-09-22T17:13:47Z
2Btx6xU8Aw4,Que generosa eres al compartir esto con nosotras ❤,2024-09-22T16:50:14Z
2Btx6xU8Aw4,"Ayy lo que he llorado con las palabras de Cinhia a su mujer, qué preciosidad. Espero que sean muy felices ❤️",2024-09-22T15:37:49Z
2Btx6xU8Aw4,"Felicitaciones, las palabras de tu hermana fueron exquisitas, me hicieron llorar!",2024-09-22T15:06:19Z
2Btx6xU8Aw4,Me habéis hecho llorar como una magdalena,2024-09-22T13:18:02Z
2Btx6xU8Aw4,Hola...he visto el vídeo 2 veces y no descarto verlo otra vez....<br>Excelente!!!!!!!!!,2024-09-22T13:04:06Z
2Btx6xU8Aw4,Que preciosa boda,2024-09-22T10:50:03Z
2Btx6xU8Aw4,Preciosa boda y precioso video.Saludos desde San Sebastián ❤,2024-09-22T09:28:26Z
2Btx6xU8Aw4,"La declaración de amor más bella que he escuchado en mi vida. No he parado de llorar. Es honda, realista, auténtica, comprometida, dulce… os deseo toda la felicidad del mundo, chicas.",2024-09-22T07:36:56Z
2Btx6xU8Aw4,Buah que panzon de llorar porfavor...🥺🥺🥺😍😍😍😍😍🥂,2024-09-22T07:35:47Z
2Btx6xU8Aw4,Una boda hermosa! Con momentos ❤ y momentos LOL como el corte de pelo y que Gashan no se acordara al día siguiente 😂😂,2024-09-22T06:58:23Z
2Btx6xU8Aw4,😅 que mal,2024-09-22T05:13:58Z
2Btx6xU8Aw4,Precioso tu vestido alex,2024-09-22T03:43:44Z
2Btx6xU8Aw4,"no tienes tiempo pero, sales a tomar en la manana un cafe.  te hubiera ahora tiempo si te lo tomas donde duerme y aces una citas con amigas que ibas aver al dia siguentes, mis amiga huvieran entedido si en este viaje nos huevieramos visto solo en la boda, para ahorral tiempo etc etc",2024-09-21T23:45:40Z
2Btx6xU8Aw4,una lloradita y a seguir LAS AMO😭😭😭❤❤❤,2024-09-21T21:57:38Z
2Btx6xU8Aw4,"Alex me encanta el corte de pelo de tu hermana y tb el que te has hecho tú, siempre estás muy guapa con esos cortes",2024-09-21T20:12:47Z
2Btx6xU8Aw4,increíble este vlog,2024-09-21T18:49:45Z
2Btx6xU8Aw4,El discurso de Cinthia  me ha dejado sin palabras ❤,2024-09-21T18:40:59Z
2Btx6xU8Aw4,Que vestidos tan preciosos de boda!! 💖,2024-09-21T18:04:23Z
2Btx6xU8Aw4,👏👏👏👏👏❤️❤️❤️❤️,2024-09-21T17:42:36Z
2Btx6xU8Aw4,Todo maravilloso un abrazo fuerte ❤,2024-09-21T17:12:38Z
2Btx6xU8Aw4,Que bonitas palabras menuda llorera me he pegado mi chico alucinando cuando me ha visto llorar de emoción,2024-09-21T16:58:14Z
2Btx6xU8Aw4,"Esa finca está al lado de mi casa, es preciosa!!! Enhorabuena por el enlace.",2024-09-21T16:03:31Z
2Btx6xU8Aw4,Q bonita boda❤,2024-09-21T15:56:53Z
2Btx6xU8Aw4,Lesbianas!!!!😢me espanta.Aunque intento respetar....,2024-09-21T13:25:38Z
2Btx6xU8Aw4,Un discurso de amor muy bonito ❤. Todo genial,2024-09-21T12:56:33Z
2Btx6xU8Aw4,Comentario random q necesito hacer. En mi casa te sigo yo de 52 y mi hija de 21. Osea q gustas a varias generaciones. Para mí eres de las mejores y esperando cada jueves con unas ganas locas. Que le pasa a la gente q sigue cuentas de insoportables y tú no tienes más de un millón como poco . 😮 No lo entiendo mereces mucho más. ❤,2024-09-21T11:32:55Z
